from_to,gdp_diff_2018,gdp_mean_2018,neighbors,share_lang,PDI_diff,MAS_diff,fb_users_diff,fb_users_perc_mean,fb_users_mean,share_cont
CH-GT,62994.85957891718,40162.7770504316,0,0,61.0,33.0,3100000.0,39.381165702605735,5250000.0,0
CH-HU,39747.132184642585,51786.6407475689,0,1,12.0,18.0,1600000.0,48.672077356366216,4500000.0,1
CH-ID,60015.44830085489,41652.48268946275,0,0,44.0,24.0,133260000.0,45.61887190401879,70330000.0,0
CH-IE,12895.427961850117,78107.92082081526,0,0,6.0,2.0,1000000.0,47.97726057166855,3200000.0,1
CH-IL,31754.08215555139,55783.1657621145,0,0,21.0,23.0,2177000.0,54.018044312651966,4788500.0,0
CH-IN,64984.84554578236,39167.78406699901,0,0,43.0,14.0,247300000.0,30.007918552879524,127350000.0,0
CH-IQ,60850.73442974889,41234.839625015746,0,0,46.0,18.0,17576000.0,46.31537295703534,12488000.0,0
CH-IR,57864.88937257179,42727.76215360429,0,0,24.0,27.0,36300000.0,44.33553639769807,21850000.0,0
CH-IT,28623.963062853494,57348.22530846344,1,1,16.0,0.0,26300000.0,45.97688621472342,16850000.0,1
CH-JM,61691.61234706938,40814.4006663555,0,0,11.0,2.0,2600000.0,39.51077672755896,2400000.0,0
CH-JP,29457.80572322129,56931.303978279546,0,0,20.0,25.0,24300000.0,32.233738849528606,15850000.0,0
CH-KE,67217.02773127623,38051.69297425207,0,0,30.0,29.0,3300000.0,27.31196806591774,5350000.0,0
CH-KR,28633.910449256393,57343.251615261994,0,0,26.0,31.0,18136000.0,42.35615050911774,12768000.0,0
CH-KW,19969.63788284269,61675.38789846885,0,0,46.0,18.0,393000.0,67.80616324406894,3896500.0,0
CH-LB,55605.844384000986,43857.2846478897,0,1,46.0,18.0,267000.0,50.75747153433129,3833500.0,0
CH-LY,56281.63407627389,43519.38980175325,0,0,46.0,18.0,1394000.0,57.26104538371706,4397000.0,0
CH-MX,51564.05018645629,45878.18174666204,0,0,47.0,1.0,74300000.0,50.72954048121369,40850000.0,0
CH-MY,43420.706756171785,49949.8534618043,0,0,70.0,20.0,21820000.0,59.5415556038042,14610000.0,0
